q1_anchor_deg,q2_anchor_deg,q1_dot,q2_dot,recovered,settling_time,total_control_effort,peak_angle_error,peak_cart_displacement
2.0,2.0,-2.0,-2.0,False,nan,8825.787029374034,40.72074389730297,2.0655731732205074
2.0,2.0,-2.0,-1.75,False,nan,8676.51959314587,77.47891553440488,2.046384969025448
2.0,2.0,-2.0,-1.5,False,nan,8743.633210702756,39.07453722679711,2.066436680594552
2.0,2.0,-2.0,-1.25,False,nan,8794.526735804662,59.260246004045015,2.0362776653201036
2.0,2.0,-2.0,-1.0,False,nan,8805.274950368483,27.652629967274944,2.044689250973504
2.0,2.0,-2.0,-0.75,False,nan,8784.94074059706,50.74993741094514,2.041364104491157
2.0,2.0,-2.0,-0.5,False,nan,8751.048987482765,91.41670198518487,2.0387745098892704
2.0,2.0,-2.0,-0.25,True,9.675,7672.495873268006,1253.1269822672807,154.91647563682122
2.0,2.0,-2.0,0.0,False,nan,8830.266184956012,119.8889817499124,2.048643267505943
2.0,2.0,-2.0,0.25,False,nan,8791.859606400472,96.3449963234396,2.0432849283504937
2.0,2.0,-2.0,0.5,False,nan,8766.916826560786,42.36001442753732,2.0539442562260795
2.0,2.0,-2.0,0.75,False,nan,8637.951064366223,52.686985156017684,2.053160710176783
2.0,2.0,-2.0,1.0,True,3.44,222.72257441021057,0.2611763454824657,1.953628973690853
2.0,2.0,-2.0,1.25,True,3.355,150.2263506532103,0.21526897276694196,1.7572813945382997
2.0,2.0,-2.0,1.5,True,3.22,106.58915217896467,0.18593006133083165,1.5291855404778238
2.0,2.0,-2.0,1.75,True,3.0100000000000002,84.8247654480439,0.15800249753412515,1.2834769039607046
2.0,2.0,-2.0,2.0,True,2.755,81.88823348770178,0.13456272645281853,1.029835065003783
2.0,2.0,-1.75,-2.0,False,nan,8764.53556995895,59.28863481007831,2.0403691652439364
2.0,2.0,-1.75,-1.75,True,7.715,5854.577184531754,52458.74266041549,1330.8242749922322
2.0,2.0,-1.75,-1.5,False,nan,8799.610539915453,56.596607022011064,2.05820395601022
2.0,2.0,-1.75,-1.25,False,nan,8774.933505532295,4711.544105243154,64.66416861318001
2.0,2.0,-1.75,-1.0,False,nan,8731.676684007456,48.71968541078553,2.065106846367718
2.0,2.0,-1.75,-0.75,True,5.505,3991.8701563957557,922.6061644246232,29.143630540644853
2.0,2.0,-1.75,-0.5,False,nan,8784.903561790836,47.78774763080908,2.0587700749301296
2.0,2.0,-1.75,-0.25,False,nan,8795.135472542406,17.546879759864566,2.055249188203051
2.0,2.0,-1.75,0.0,False,nan,8813.254221663372,65.69501071099371,2.035845449717966
2.0,2.0,-1.75,0.25,False,nan,8745.828984605538,39.67705553922873,2.0459532358031427
2.0,2.0,-1.75,0.5,True,3.35,317.52580621955246,0.30854748755921957,1.8704869717585288
2.0,2.0,-1.75,0.75,True,3.39,186.45944576280624,0.24389880612216117,1.803309852441115
2.0,2.0,-1.75,1.0,True,3.285,121.33273277485323,0.1943766671308361,1.5949372368719819
2.0,2.0,-1.75,1.25,True,3.115,82.04012095081443,0.16472749724679442,1.358955662101653
2.0,2.0,-1.75,1.5,True,2.865,63.26310388724048,0.1365940363429352,1.1084263650129162
2.0,2.0,-1.75,1.75,True,2.64,62.573922224390834,0.11430724519337057,0.8553040309054636
2.0,2.0,-1.75,2.0,True,2.24,81.48799009281097,0.12355269417053019,0.5926707403625133
2.0,2.0,-1.5,-2.0,False,nan,8765.599034675817,101.3510082163623,2.0450611638272393
2.0,2.0,-1.5,-1.75,True,9.735,7729.60410476201,45178.46058263907,149.4797283721695
2.0,2.0,-1.5,-1.5,False,nan,8828.349743539618,121.4313930680559,2.0390439762319197
2.0,2.0,-1.5,-1.25,False,nan,8802.874342918149,85.42303332492283,2.037454628228167
2.0,2.0,-1.5,-1.0,True,4.28,2885.0067780006975,1395.5291685508146,42.88796523768164
2.0,2.0,-1.5,-0.75,False,nan,8813.305120132722,64.637566586961,2.0501170674419953
2.0,2.0,-1.5,-0.5,False,nan,8823.238653738737,49.40559085155574,2.0373816375499363
2.0,2.0,-1.5,-0.25,False,nan,8773.766331067443,63.67398768712741,2.0363019410607985
2.0,2.0,-1.5,0.0,True,7.42,5615.700971235599,12093.444531538042,28.508450211402387
2.0,2.0,-1.5,0.25,True,3.4,248.00953112008006,0.28904065314549954,1.8266227096049872
2.0,2.0,-1.5,0.5,True,3.33,155.79380940253833,0.22719663342568067,1.6479305449680988
2.0,2.0,-1.5,0.75,True,3.1950000000000003,96.65612067383506,0.17346379192709405,1.4291166270078584
2.0,2.0,-1.5,1.0,True,2.975,61.08254529236602,0.14343964230106968,1.1863230397547397
2.0,2.0,-1.5,1.25,True,2.77,44.989643267101556,0.11511192597050211,0.9318096459045525
2.0,2.0,-1.5,1.5,True,2.47,46.495964573717536,0.09491596547392188,0.6783277674242816
2.0,2.0,-1.5,1.75,True,2.065,65.72323734000129,0.1131559407145123,0.44330615855992433
2.0,2.0,-1.5,2.0,True,2.15,110.05665846355339,0.18122964226715127,0.33800375124317483
2.0,2.0,-1.25,-2.0,True,9.120000000000001,7173.870213681218,24860.083244543443,806.7928893999588
2.0,2.0,-1.25,-1.75,True,5.1850000000000005,3690.337090303682,111085.92814903361,39.99370385842348
2.0,2.0,-1.25,-1.5,False,nan,8807.232057081957,21.01037806553486,2.039169771225215
2.0,2.0,-1.25,-1.25,False,nan,8846.72895996866,51.7859513198982,2.044123001921788
2.0,2.0,-1.25,-1.0,False,nan,8851.808807503108,46.76129784727945,2.04165216156829
2.0,2.0,-1.25,-0.75,False,nan,8829.782780186402,59.09548012994918,2.0523681267275493
2.0,2.0,-1.25,-0.5,False,nan,8656.855627665724,48.54673438943404,2.0545928428733147
2.0,2.0,-1.25,-0.25,False,nan,8689.88165329656,46.67612912536758,2.050694805643166
2.0,2.0,-1.25,0.0,True,3.35,213.26997158188246,0.2725661499711196,1.6809824845257388
2.0,2.0,-1.25,0.25,True,3.255,130.05790001424322,0.21108530736024064,1.4882949400035648
2.0,2.0,-1.25,0.5,True,3.085,75.88626324167883,0.1525315401766856,1.260434212448149
2.0,2.0,-1.25,0.75,True,2.88,43.55939067594109,0.12208022663445481,1.0117598367242762
2.0,2.0,-1.25,1.0,True,2.64,29.919836127798774,0.0935816383816682,0.7540079314812584
2.0,2.0,-1.25,1.25,True,2.22,33.51119991096149,0.07767820958436444,0.5021048531633502
2.0,2.0,-1.25,1.5,True,2.02,53.99316096721385,0.10888281563879308,0.30750286678539196
2.0,2.0,-1.25,1.75,True,2.11,96.01935468692398,0.17528770573599298,0.2579703442398021
2.0,2.0,-1.25,2.0,True,2.79,172.0904550503192,0.26046793439586796,0.4570804569502549
2.0,2.0,-1.0,-2.0,False,nan,8787.111163621064,97.1429978146683,2.038412817195421
2.0,2.0,-1.0,-1.75,False,nan,8842.668876148216,87.12799566955582,2.025018444842389
2.0,2.0,-1.0,-1.5,False,nan,8838.775044350226,68.05408048371905,2.061725408382259
2.0,2.0,-1.0,-1.25,False,nan,8750.204961458721,40.28440912411531,2.063937285606878
2.0,2.0,-1.0,-1.0,False,nan,8803.071954928388,96.558960633965,2.054081058544931
